Type,Keyword,Original,Goal,Targets,HigherLevel,TargetLevel,NonHumanSubject,GoalTopic
Challenge,basic services,[access to] x [basic services],1,1_4,1,1,,poverty
Challenge,services,[access to] x [basic services],1,1_4,2,1,,poverty
Challenge,accessibility,[access to] x [basic services],1,1_4,1,1,,poverty
Challenge,ownership accessibility,[access to] x [ownership],1,1_4,,1,,poverty
Challenge,ownership,[access to] x [ownership],1,1_4,1,1,,poverty
Challenge,accessibility,[access to] x [ownership],1,1_4,1,1,,poverty
Challenge,land control accessibility,[access to] x [land] x [control],1,1_4,,1,,poverty
Challenge,land control,[access to] x [land] x [control],1,1_4,1,1,,poverty
Challenge,land,[access to] x [land] x [control],1,1_4,2,1,,poverty
Challenge,control,[access to] x [land] x [control],1,1_4,2,1,,poverty
Challenge,accessibility,[access to] x [land] x [control],1,1_4,1,1,,poverty
Challenge,economic ressource equal rights,[economic ressources] x [equal rights],1,1_4,,1,,poverty
Challenge,economic ressource rights,[economic ressources] x [equal rights],1,1_4,1,1,,poverty
Challenge,economic ressources,[economic ressources] x [equal rights],1,1_4,2,1,,poverty
Challenge,economics,[economic ressources] x [equal rights],1,1_4,3,1,,poverty
Challenge,ressources,[economic ressources] x [equal rights],1,1_4,3,1,,poverty
Challenge,equal rights,[economic ressources] x [equal rights],1,1_4,2,1,,poverty
Challenge,rights,[economic ressources] x [equal rights],1,1_4,3,1,,poverty
Challenge,equality,[economic ressources] x [equal rights],1,1_4,3,1,,poverty
Challenge,resilience,resilience,1,1_5,,1,,poverty
Challenge,climate extreme vulnerability,[climate-related] x [extreme events] x [vulnerability],1,1_5,,1,,poverty
Challenge,climate vulnerability,[climate-related] x [extreme events] x [vulnerability],1,1_5,1,1,,poverty
Challenge,climate change vulnerability,[climate-related] x [extreme events] x [vulnerability],1,1_5,2,1,,poverty
Challenge,climate,[climate-related] x [extreme events] x [vulnerability],1,1_5,3,1,,poverty
Challenge,climate change,[climate-related] x [extreme events] x [vulnerability],1,1_5,3,1,,poverty
Challenge,climate extremes,[climate-related] x [extreme events] x [vulnerability],1,1_5,1,1,,poverty
Challenge,extreme events,[climate-related] x [extreme events] x [vulnerability],1,1_5,2,1,,poverty
Challenge,vulnerability,[climate-related] x [extreme events] x [vulnerability],1,1_5,2,1,,poverty
Challenge,climate extreme exposure,[climate-related] x [extreme events] x [exposure],1,1_5,,1,,poverty
Challenge,climate exposure,[climate-related] x [extreme events] x [exposure],1,1_5,1,1,,poverty
Challenge,climate change exposure,[climate-related] x [extreme events] x [exposure],1,1_5,2,1,,poverty
Challenge,climate,[climate-related] x [extreme events] x [exposure],1,1_5,3,1,,poverty
Challenge,climate change,[climate-related] x [extreme events] x [exposure],1,1_5,3,1,,poverty
Challenge,climate extremes,[climate-related] x [extreme events] x [exposure],1,1_5,1,1,,poverty
Challenge,extreme events,[climate-related] x [extreme events] x [exposure],1,1_5,2,1,,poverty
Challenge,exposure,[climate-related] x [extreme events] x [exposure],1,1_5,2,1,,poverty
Challenge,economic shock vulnerability,[economic] x [shocks] x [vulnerability],1,1_5,,1,,poverty
Challenge,economic shocks,[economic] x [shocks] x [vulnerability],1,1_5,1,1,,poverty
Challenge,economics,[economic] x [shocks] x [vulnerability],1,1_5,2,1,,poverty
Challenge,economic vulnerability,[economic] x [shocks] x [vulnerability],1,1_5,1,1,,poverty
Challenge,vulnerability,[economic] x [shocks] x [vulnerability],1,1_5,2,1,,poverty
Challenge,shocks,[economic] x [shocks] x [vulnerability],1,1_5,2,1,,poverty
Challenge,economic disasters vulnerability,[economic] x [disasters] x [vulnerability],1,1_5,,1,,poverty
Challenge,economic disasters,[economic] x [disasters] x [vulnerability],1,1_5,1,1,,poverty
Challenge,economics,[economic] x [disasters] x [vulnerability],1,1_5,2,1,,poverty
Challenge,economic vulnerability,[economic] x [disasters] x [vulnerability],1,1_5,1,1,,poverty
Challenge,vulnerability,[economic] x [disasters] x [vulnerability],1,1_5,2,1,,poverty
Challenge,disasters,[economic] x [disasters] x [vulnerability],1,1_5,2,1,,poverty
Challenge,economic shock exposure,[economic] x [shocks] x [exposure],1,1_5,,1,,poverty
Challenge,economic shocks,[economic] x [shocks] x [exposure],1,1_5,1,1,,poverty
Challenge,economics,[economic] x [shocks] x [exposure],1,1_5,2,1,,poverty
Challenge,economic exposure,[economic] x [shocks] x [exposure],1,1_5,1,1,,poverty
Challenge,exposure,[economic] x [shocks] x [exposure],1,1_5,2,1,,poverty
Challenge,shocks,[economic] x [shocks] x [exposure],1,1_5,2,1,,poverty
Challenge,economic disasters exposure,[economic] x [disasters] x [exposure],1,1_5,,1,,poverty
Challenge,economic disasters,[economic] x [disasters] x [exposure],1,1_5,1,1,,poverty
Challenge,economics,[economic] x [disasters] x [exposure],1,1_5,2,1,,poverty
Challenge,economic exposure,[economic] x [disasters] x [exposure],1,1_5,1,1,,poverty
Challenge,exposure,[economic] x [disasters] x [exposure],1,1_5,2,1,,poverty
Challenge,disasters,[economic] x [disasters] x [exposure],1,1_5,2,1,,poverty
Challenge,social shock vulnerability,[social] x [shocks] x [vulnerability],1,1_5,,1,,poverty
Challenge,social shocks,[social] x [shocks] x [vulnerability],1,1_5,1,1,,poverty
Challenge,social,[social] x [shocks] x [vulnerability],1,1_5,2,1,,poverty
Challenge,social vulnerability,[social] x [shocks] x [vulnerability],1,1_5,1,1,,poverty
Challenge,vulnerability,[social] x [shocks] x [vulnerability],1,1_5,2,1,,poverty
Challenge,shocks,[social] x [shocks] x [vulnerability],1,1_5,2,1,,poverty
Challenge,social disasters vulnerability,[social] x [disasters] x [vulnerability],1,1_5,,1,,poverty
Challenge,social disasters,[social] x [disasters] x [vulnerability],1,1_5,1,1,,poverty
Challenge,social,[social] x [disasters] x [vulnerability],1,1_5,2,1,,poverty
Challenge,social vulnerability,[social] x [disasters] x [vulnerability],1,1_5,1,1,,poverty
Challenge,vulnerability,[social] x [disasters] x [vulnerability],1,1_5,2,1,,poverty
Challenge,disasters,[social] x [disasters] x [vulnerability],1,1_5,2,1,,poverty
Challenge,social shock exposure,[social] x [shocks] x [exposure],1,1_5,,1,,poverty
Challenge,social shocks,[social] x [shocks] x [exposure],1,1_5,1,1,,poverty
Challenge,social,[social] x [shocks] x [exposure],1,1_5,2,1,,poverty
Challenge,social exposure,[social] x [shocks] x [exposure],1,1_5,1,1,,poverty
Challenge,exposure,[social] x [shocks] x [exposure],1,1_5,2,1,,poverty
Challenge,shocks,[social] x [shocks] x [exposure],1,1_5,2,1,,poverty
Challenge,social disasters exposure,[social] x [disasters] x [exposure],1,1_5,,1,,poverty
Challenge,social disasters,[social] x [disasters] x [exposure],1,1_5,1,1,,poverty
Challenge,social,[social] x [disasters] x [exposure],1,1_5,2,1,,poverty
Challenge,social exposure,[social] x [disasters] x [exposure],1,1_5,1,1,,poverty
Challenge,exposure,[social] x [disasters] x [exposure],1,1_5,2,1,,poverty
Challenge,disasters,[social] x [disasters] x [exposure],1,1_5,2,1,,poverty
Challenge,environmental shock exposure,[environmental] x [shocks] x [exposure],1,1_5,,1,,poverty
Challenge,environmental shocks,[environmental] x [shocks] x [exposure],1,1_5,1,1,,poverty
Challenge,environment,[environmental] x [shocks] x [exposure],1,1_5,2,1,,poverty
Challenge,environmental exposure,[environmental] x [shocks] x [exposure],1,1_5,1,1,,poverty
Challenge,exposure,[environmental] x [shocks] x [exposure],1,1_5,2,1,,poverty
Challenge,shocks,[environmental] x [shocks] x [exposure],1,1_5,2,1,,poverty
Challenge,environmental disasters exposure,[environmental] x [disasters] x [exposure],1,1_5,,1,,poverty
Challenge,environmental disasters,[environmental] x [disasters] x [exposure],1,1_5,1,1,,poverty
Challenge,environment,[environmental] x [disasters] x [exposure],1,1_5,2,1,,poverty
Challenge,environmental exposure,[environmental] x [disasters] x [exposure],1,1_5,1,1,,poverty
Challenge,exposure,[environmental] x [disasters] x [exposure],1,1_5,2,1,,poverty
Challenge,disasters,[environmental] x [disasters] x [exposure],1,1_5,2,1,,poverty
Challenge,environmental shock vulnerability,[environmental] x [shocks] x [vulnerability],1,1_5,,1,,poverty
Challenge,environmental shocks,[environmental] x [shocks] x [vulnerability],1,1_5,1,1,,poverty
Challenge,environment,[environmental] x [shocks] x [vulnerability],1,1_5,2,1,,poverty
Challenge,environmental vulnerability,[environmental] x [shocks] x [vulnerability],1,1_5,1,1,,poverty
Challenge,vulnerability,[environmental] x [shocks] x [vulnerability],1,1_5,2,1,,poverty
Challenge,shocks,[environmental] x [shocks] x [vulnerability],1,1_5,2,1,,poverty
Challenge,environmental disasters vulnerability,[environmental] x [disasters] x [vulnerability],1,1_5,,1,,poverty
Challenge,environmental disasters,[environmental] x [disasters] x [vulnerability],1,1_5,1,1,,poverty
Challenge,environment,[environmental] x [disasters] x [vulnerability],1,1_5,2,1,,poverty
Challenge,environmental vulnerability,[environmental] x [disasters] x [vulnerability],1,1_5,1,1,,poverty
Challenge,vulnerability,[environmental] x [disasters] x [vulnerability],1,1_5,2,1,,poverty
Challenge,disasters,[environmental] x [disasters] x [vulnerability],1,1_5,2,1,,poverty
Challenge,safe food accessibility,[access] x [safe] x [food],2,2_1,,1,,hunger food
Challenge,food accessibility,[access] x [safe] x [food],2,2_1,1,1,,hunger food
Challenge,food safety,[access] x [safe] x [food],2,2_1,1,1,,hunger food
Challenge,food,[access] x [safe] x [food],2,2_1,2,1,,hunger food
Challenge,accessibility,[access] x [safe] x [food],2,2_1,2,1,,hunger food
Challenge,safety,[access] x [safe] x [food],2,2_1,2,1,,hunger food
Challenge,food nutrition accessibility,[access] x [nutritious] x [food],2,2_1,,1,,hunger food
Challenge,food accessibility,[access] x [nutritious] x [food],2,2_1,1,1,,hunger food
Challenge,food nutrition,[access] x [nutritious] x [food],2,2_1,1,1,,hunger food
Challenge,food,[access] x [nutritious] x [food],2,2_1,2,1,,hunger food
Challenge,accessibility,[access] x [nutritious] x [food],2,2_1,2,1,,hunger food
Challenge,nutrition,[access] x [nutritious] x [food],2,2_1,2,1,,hunger food
Challenge,food sufficiency accessibility,[access] x [sufficient] x [food],2,2_1,,1,,hunger food
Challenge,food sufficiency,[access] x [sufficient] x [food],2,2_1,1,1,,hunger food
Challenge,food accessibility,[access] x [sufficient] x [food],2,2_1,1,1,,hunger food
Challenge,food,[access] x [sufficient] x [food],2,2_1,2,1,,hunger food
Challenge,accessibility,[access] x [sufficient] x [food],2,2_1,2,1,,hunger food
Challenge,sufficiency,[access] x [sufficient] x [food],2,2_1,2,1,,hunger food
Challenge,malnutrition,malnutrition,2,2_2,,1,,hunger food
Challenge,stunting targets,[stunting] x [targets],2,2_2,,1,,hunger food
Challenge,stunting,[stunting] x [targets],2,2_2,,1,,hunger food
Challenge,targets,[stunting] x [targets],2,2_2,,1,,hunger food
Challenge,wasting targets,[wasting] x [targets],2,2_2,,1,,hunger food
Challenge,wasting,[wasting] x [targets],2,2_2,,1,,hunger food
Challenge,targets,[wasting] x [targets],2,2_2,,1,,hunger food
Challenge,nutritional needs,nutritional needs,2,2_2,,1,,hunger food
Challenge,nutrition,nutritional needs,2,2_2,1,1,,hunger food
Challenge,nutrition,malnutrition,2,2_2,1,1,,hunger food
Challenge,agricultural producitivity,agricultural productivity,2,2_3,,1,,hunger food
Challenge,agriculture,agricultural productivity,2,2_3,1,1,,hunger food
Challenge,productivity,agricultural productivity,2,2_3,1,1,,hunger food
Challenge,food producer income,[incomes] x [food] x [producer],2,2_3,,1,,hunger food
Challenge,income,[incomes] x [food] x [producer],2,2_3,1,1,,hunger food
Challenge,food production,[incomes] x [food] x [producer],2,2_3,1,1,,hunger food
Challenge,food,[incomes] x [food] x [producer],2,2_3,2,1,,hunger food
Challenge,economics,[incomes] x [food] x [producer],2,2_3,2,1,,hunger food
Challenge,land secure accessibility,[secure] x [access] x [land],2,2_3,,1,,hunger food
Challenge,secure accessibility,[secure] x [access] x [land],2,2_3,1,1,,hunger food
Challenge,land accessibility,[secure] x [access] x [land],2,2_3,1,1,,hunger food
Challenge,land,[secure] x [access] x [land],2,2_3,2,1,,hunger food
Challenge,accessibility,[secure] x [access] x [land],2,2_3,2,1,,hunger food
Challenge,productive ressource secure accessibility,[secure] x [access] x [productive ressources],2,2_3,,1,,hunger food
Challenge,ressource secure accessibility,[secure] x [access] x [productive ressources],2,2_3,1,1,,hunger food
Challenge,productive ressource accessibility,[secure] x [access] x [productive ressources],2,2_3,1,1,,hunger food
Challenge,ressource accessbility,[secure] x [access] x [productive ressources],2,2_3,2,1,,hunger food
Challenge,secure accessbility,[secure] x [access] x [productive ressources],2,2_3,2,1,,hunger food
Challenge,productive ressources,[secure] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,ressources,[secure] x [access] x [productive ressources],2,2_3,4,1,,hunger food
Challenge,accessibility,[secure] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,security,[secure] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,productivity,[secure] x [access] x [productive ressources],2,2_3,4,1,,hunger food
Challenge,productive input secure accessibility,[secure] x [access] x [productive] x [inputs],2,2_3,,1,,hunger food
Challenge,input secure accessibility,[secure] x [access] x [productive] x [inputs],2,2_3,1,1,,hunger food
Challenge,productive input accessibility,[secure] x [access] x [productive] x [inputs],2,2_3,1,1,,hunger food
Challenge,input accessbility,[secure] x [access] x [productive] x [inputs],2,2_3,2,1,,hunger food
Challenge,secure accessbility,[secure] x [access] x [productive] x [inputs],2,2_3,2,1,,hunger food
Challenge,productive inputs,[secure] x [access] x [productive] x [inputs],2,2_3,3,1,,hunger food
Challenge,inputs,[secure] x [access] x [productive] x [inputs],2,2_3,4,1,,hunger food
Challenge,accessibility,[secure] x [access] x [productive] x [inputs],2,2_3,3,1,,hunger food
Challenge,security,[secure] x [access] x [productive] x [inputs],2,2_3,3,1,,hunger food
Challenge,productivity,[secure] x [access] x [productive] x [inputs],2,2_3,4,1,,hunger food
Challenge,knowledge secure accessibility,[secure] x [access] x [knowledge],2,2_3,,1,,hunger food
Challenge,secure accessibility,[secure] x [access] x [knowledge],2,2_3,1,1,,hunger food
Challenge,knowledge accessibility,[secure] x [access] x [knowledge],2,2_3,1,1,,hunger food
Challenge,knowledge,[secure] x [access] x [knowledge],2,2_3,2,1,,hunger food
Challenge,accessibility,[secure] x [access] x [knowledge],2,2_3,2,1,,hunger food
Challenge,financial services secure accessibility,[secure] x [access] x [financial services],2,2_3,,1,,hunger food
Challenge,secure accessibility,[secure] x [access] x [financial services],2,2_3,1,1,,hunger food
Challenge,financial services accessibility,[secure] x [access] x [financial services],2,2_3,1,1,,hunger food
Challenge,financial services,[secure] x [access] x [financial services],2,2_3,2,1,,hunger food
Challenge,accessibility,[secure] x [access] x [financial services],2,2_3,2,1,,hunger food
Challenge,finance,[secure] x [access] x [financial services],2,2_3,3,1,,hunger food
Challenge,market secure accessibility,[secure] x [access] x [markets],2,2_3,,1,,hunger food
Challenge,secure accessibility,[secure] x [access] x [markets],2,2_3,1,1,,hunger food
Challenge,market accessibility,[secure] x [access] x [markets],2,2_3,1,1,,hunger food
Challenge,markets,[secure] x [access] x [markets],2,2_3,2,1,,hunger food
Challenge,accessibility,[secure] x [access] x [markets],2,2_3,2,1,,hunger food
Challenge,trading,[secure] x [access] x [markets],2,2_3,3,1,,hunger food
Challenge,productive ressource secure accessibility,[secure] x [access] x [productive ressources],2,2_3,,1,,hunger food
Challenge,ressource secure accessibility,[secure] x [access] x [productive ressources],2,2_3,1,1,,hunger food
Challenge,productive ressource accessibility,[secure] x [access] x [productive ressources],2,2_3,1,1,,hunger food
Challenge,ressource accessbility,[secure] x [access] x [productive ressources],2,2_3,2,1,,hunger food
Challenge,secure accessbility,[secure] x [access] x [productive ressources],2,2_3,2,1,,hunger food
Challenge,productive ressources,[secure] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,ressources,[secure] x [access] x [productive ressources],2,2_3,4,1,,hunger food
Challenge,accessibility,[secure] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,security,[secure] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,productivity,[secure] x [access] x [productive ressources],2,2_3,4,1,,hunger food
Challenge,value addition opportunity secure accessibility,[secure] x [access] x [opportunities] x [value addition],2,2_3,,1,,hunger food
Challenge,value addition secure accessibility,[secure] x [access] x [opportunities] x [value addition],2,2_3,1,1,,hunger food
Challenge,opportunity secure accessibility,[secure] x [access] x [opportunities] x [value addition],2,2_3,1,1,,hunger food
Challenge,value addition opportunity,[secure] x [access] x [opportunities] x [value addition],2,2_3,1,1,,hunger food
Challenge,value addition,[secure] x [access] x [opportunities] x [value addition],2,2_3,2,1,,hunger food
Challenge,opportunity,[secure] x [access] x [opportunities] x [value addition],2,2_3,2,1,,hunger food
Challenge,secure accessibility,[secure] x [access] x [opportunities] x [value addition],2,2_3,2,1,,hunger food
Challenge,accessibility,[secure] x [access] x [opportunities] x [value addition],2,2_3,3,1,,hunger food
Challenge,security,[secure] x [access] x [opportunities] x [value addition],2,2_3,3,1,,hunger food
Challenge,value,[secure] x [access] x [opportunities] x [value addition],2,2_3,3,1,,hunger food
Challenge,non-farm employment opportunity secure accessibility,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,,1,,hunger food
Challenge,non-farm employment secure accessibility,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,1,1,,hunger food
Challenge,employment secure accessibility,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,2,1,,hunger food
Challenge,employment,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,4,1,,hunger food
Challenge,secure accessibility,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,2,1,,hunger food
Challenge,accessibility,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,3,1,,hunger food
Challenge,non-farm employment,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,3,1,,hunger food
Challenge,jobs,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,4,1,,hunger food
Challenge,non-farm employment accessibility,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,2,1,,hunger food
Challenge,employment accessibility,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,3,1,,hunger food
Challenge,opportunity,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,3,1,,hunger food
Challenge,security,[secure] x [access] x [opportunities] x [non-farm employment],2,2_3,3,1,,hunger food
Challenge,land equal accessibility,[equal] x [access] x [land],2,2_3,,1,,hunger food
Challenge,equal accessibility,[equal] x [access] x [land],2,2_3,1,1,,hunger food
Challenge,land accessibility,[equal] x [access] x [land],2,2_3,1,1,,hunger food
Challenge,land,[equal] x [access] x [land],2,2_3,2,1,,hunger food
Challenge,accessibility,[equal] x [access] x [land],2,2_3,2,1,,hunger food
Challenge,productive ressource equal accessibility,[equal] x [access] x [productive ressources],2,2_3,,1,,hunger food
Challenge,ressource equal accessibility,[equal] x [access] x [productive ressources],2,2_3,1,1,,hunger food
Challenge,productive ressource accessibility,[equal] x [access] x [productive ressources],2,2_3,1,1,,hunger food
Challenge,ressource accessbility,[equal] x [access] x [productive ressources],2,2_3,2,1,,hunger food
Challenge,equal accessbility,[equal] x [access] x [productive ressources],2,2_3,2,1,,hunger food
Challenge,productive ressources,[equal] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,ressources,[equal] x [access] x [productive ressources],2,2_3,4,1,,hunger food
Challenge,accessibility,[equal] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,equality,[equal] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,productivity,[equal] x [access] x [productive ressources],2,2_3,4,1,,hunger food
Challenge,productive input equal accessibility,[equal] x [access] x [productive] x [inputs],2,2_3,,1,,hunger food
Challenge,input equal accessibility,[equal] x [access] x [productive] x [inputs],2,2_3,1,1,,hunger food
Challenge,productive input accessibility,[equal] x [access] x [productive] x [inputs],2,2_3,1,1,,hunger food
Challenge,input accessbility,[equal] x [access] x [productive] x [inputs],2,2_3,2,1,,hunger food
Challenge,equal accessbility,[equal] x [access] x [productive] x [inputs],2,2_3,2,1,,hunger food
Challenge,productive inputs,[equal] x [access] x [productive] x [inputs],2,2_3,3,1,,hunger food
Challenge,inputs,[equal] x [access] x [productive] x [inputs],2,2_3,4,1,,hunger food
Challenge,accessibility,[equal] x [access] x [productive] x [inputs],2,2_3,3,1,,hunger food
Challenge,equality,[equal] x [access] x [productive] x [inputs],2,2_3,3,1,,hunger food
Challenge,productivity,[equal] x [access] x [productive] x [inputs],2,2_3,4,1,,hunger food
Challenge,knowledge equal accessibility,[equal] x [access] x [knowledge],2,2_3,,1,,hunger food
Challenge,equal accessibility,[equal] x [access] x [knowledge],2,2_3,1,1,,hunger food
Challenge,knowledge accessibility,[equal] x [access] x [knowledge],2,2_3,1,1,,hunger food
Challenge,knowledge,[equal] x [access] x [knowledge],2,2_3,2,1,,hunger food
Challenge,accessibility,[equal] x [access] x [knowledge],2,2_3,2,1,,hunger food
Challenge,financial services equal accessibility,[equal] x [access] x [financial services],2,2_3,,1,,hunger food
Challenge,equal accessibility,[equal] x [access] x [financial services],2,2_3,1,1,,hunger food
Challenge,financial services accessibility,[equal] x [access] x [financial services],2,2_3,1,1,,hunger food
Challenge,financial services,[equal] x [access] x [financial services],2,2_3,2,1,,hunger food
Challenge,accessibility,[equal] x [access] x [financial services],2,2_3,2,1,,hunger food
Challenge,finance,[equal] x [access] x [financial services],2,2_3,3,1,,hunger food
Challenge,market equal accessibility,[equal] x [access] x [markets],2,2_3,,1,,hunger food
Challenge,equal accessibility,[equal] x [access] x [markets],2,2_3,1,1,,hunger food
Challenge,market accessibility,[equal] x [access] x [markets],2,2_3,1,1,,hunger food
Challenge,markets,[equal] x [access] x [markets],2,2_3,2,1,,hunger food
Challenge,accessibility,[equal] x [access] x [markets],2,2_3,2,1,,hunger food
Challenge,trading,[equal] x [access] x [markets],2,2_3,3,1,,hunger food
Challenge,productive ressource equal accessibility,[equal] x [access] x [productive ressources],2,2_3,,1,,hunger food
Challenge,ressource equal accessibility,[equal] x [access] x [productive ressources],2,2_3,1,1,,hunger food
Challenge,productive ressource accessibility,[equal] x [access] x [productive ressources],2,2_3,1,1,,hunger food
Challenge,ressource accessbility,[equal] x [access] x [productive ressources],2,2_3,2,1,,hunger food
Challenge,equal accessbility,[equal] x [access] x [productive ressources],2,2_3,2,1,,hunger food
Challenge,productive ressources,[equal] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,ressources,[equal] x [access] x [productive ressources],2,2_3,4,1,,hunger food
Challenge,accessibility,[equal] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,equality,[equal] x [access] x [productive ressources],2,2_3,3,1,,hunger food
Challenge,productivity,[equal] x [access] x [productive ressources],2,2_3,4,1,,hunger food
Challenge,value addition opportunity equal accessibility,[equal] x [access] x [opportunities] x [value addition],2,2_3,,1,,hunger food
Challenge,value addition equal accessibility,[equal] x [access] x [opportunities] x [value addition],2,2_3,1,1,,hunger food
Challenge,opportunity equal accessibility,[equal] x [access] x [opportunities] x [value addition],2,2_3,1,1,,hunger food
Challenge,value addition opportunity,[equal] x [access] x [opportunities] x [value addition],2,2_3,1,1,,hunger food
Challenge,value addition,[equal] x [access] x [opportunities] x [value addition],2,2_3,2,1,,hunger food
Challenge,opportunity,[equal] x [access] x [opportunities] x [value addition],2,2_3,2,1,,hunger food
Challenge,equal accessibility,[equal] x [access] x [opportunities] x [value addition],2,2_3,2,1,,hunger food
Challenge,accessibility,[equal] x [access] x [opportunities] x [value addition],2,2_3,3,1,,hunger food
Challenge,equality,[equal] x [access] x [opportunities] x [value addition],2,2_3,3,1,,hunger food
Challenge,value,[equal] x [access] x [opportunities] x [value addition],2,2_3,3,1,,hunger food
Challenge,non-farm employment opportunity equal accessibility,[equal] x [access] x [opportunities] x [non-farm employment],2,2_3,,1,,hunger food
Challenge,non-farm employment equal accessibility,[equal] x [access] x [opportunities] x [non-farm employment],2,2_3,1,1,,hunger food
Challenge,employment equal accessibility,[equal] x [access] x [opportunities] x [non-farm employment],2,2_3,2,1,,hunger food
Challenge,employment,[equal] x [access] x [opportunities] x [non-farm employment],2,2_3,4,1,,hunger food
Challenge,equal accessibility,[equal] x [access] x [opportunities] x [non-farm employment],2,2_3,2,1,,hunger food
